Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
uuid/v1,Y,Y,N,N,Y,,uuid,1443209.1380072527,6.487632368248999e-8,6.929002690356958e-7,1.3555045109952813e-8,1.9562764968784427,88,6.91583934181266e-9,4.208937374555212e-15
uuid/v1,Y,Y,N,N,Y,,hex,698892.5498465718,1.1139687569743194e-7,0.0000014308351122351076,2.28880285077556e-8,1.5996272604746335,91,1.1677565565181428e-8,1.2409263915149104e-14
uuid/v1,Y,Y,N,Y,Y,,hex,805468.7945406145,5.342062202786261e-8,0.0000012415130254305297,1.0916190306690149e-8,0.8792650647305654,92,5.569484850352117e-9,2.85376285784376e-15
uuid/v1,Y,Y,N,N,Y,,buffer,899575.6190663219,6.913396045717111e-8,0.0000011116352853558987,1.4050961182059998e-8,1.263990210382848,93,7.168857745948979e-9,4.779504488493699e-15
uuid/v1,Y,Y,N,Y,Y,,buffer,996107.4760854677,4.872940500726057e-8,0.0000010039077348659497,1.0012130088832105e-8,0.9973157633025918,91,5.1082296371592375e-9,2.3745549123616312e-15
uuid/v4,Y,N,Y,N,Y,,uuid,420711.84075928136,8.985597473186773e-8,0.0000023769238303234966,1.8462152536855817e-8,0.7767246178159247,91,9.419465580028478e-9,8.074096195014053e-15
uuid/v4,Y,N,Y,N,Y,,hex,464067.85811679973,9.986159663728372e-8,0.0000021548572746624337,2.0631619615448766e-8,0.9574471524421859,90,1.0526336538494268e-8,9.972338482947554e-15
uuid/v4,Y,N,Y,Y,Y,,hex,490256.9428283376,1.0586458947723794e-7,0.0000020397467381714323,2.187185078537538e-8,1.072282670003571,90,1.1159107543558868e-8,1.120731130518412e-14
uuid/v4,Y,N,Y,N,Y,,buffer,536805.3810667493,7.366981704451957e-8,0.0000018628725330822539,1.5220341889013627e-8,0.8170361427698167,90,7.765480555619197e-9,5.427241943372985e-15
uuid/v4,Y,N,Y,Y,Y,,buffer,557387.7684907456,1.184772073729793e-7,0.0000017940831437828785,2.4477644639494312e-8,1.3643539723517193,90,1.2488594203823629e-8,1.4036848666899943e-14
fast-uuid,Y,Y,Y,N,Y,,uuid,928481.1937750314,1.0307929629779343e-7,0.0000010770277381000971,2.2176268449635236e-8,2.059024820359289,83,1.1314422678385324e-8,1.0625341325248292e-14
uuid-random,Y,N,Y,N,Y,512,uuid,9125210.516756274,1.0599058372321066e-8,1.0958651289893403e-7,2.308239378861032e-9,2.1063170255173658,81,1.1776731524801184e-9,1.1234003837986928e-16
uuid-random,Y,N,Y,N,Y,512,hex,4169134.07018742,1.197373165351177e-8,2.398579616690153e-7,2.4335715407498476e-9,1.0145886022778683,93,1.2416181330356367e-9,1.4337024971030972e-16
uuid-random,Y,N,Y,N,Y,512,buffer,11867627.063321538,7.723736448066932e-9,8.426284333543236e-8,1.6324289645475634e-9,1.937305815861462,86,8.328719206875324e-10,5.965610471919757e-17
sodium-uuid,Y,N,Y,N,Y,,hex,493289.03141266806,1.6390882939323807e-8,0.0000020272090728152346,3.331324553043728e-9,0.164330586209218,93,1.6996553842059837e-9,2.6866104353061627e-16
sodium-uuid,Y,N,Y,Y,Y,,hex,516612.18818032206,4.5336771867825496e-8,0.000001935687974227493,9.315066697012613e-9,0.48122769893893313,91,4.752585049496231e-9,2.055422883395253e-15
sodium-uuid,Y,N,Y,N,Y,,buffer,567027.8452647869,3.690821557794656e-8,0.000001763581821159112,7.345024569202616e-9,0.4164833454891879,97,3.747461514899294e-9,1.3622163771481774e-15
sodium-uuid,Y,N,Y,Y,Y,,buffer,595510.4414965402,2.5909733970056674e-8,0.0000016792316814579477,5.1562404091213435e-9,0.30705950024981526,97,2.6307349026129304e-9,6.713143143991087e-16
sodium-native,Y,N,Y,N,Y,,hex,469662.5139164979,8.643241877553516e-8,0.000002129188449938314,1.756674365327244e-8,0.8250440985522618,93,8.962624312894101e-9,7.470563015389482e-15
sodium-native,Y,N,Y,Y,Y,,hex,566940.5522153386,4.188324201127924e-8,0.0000017638533636242242,8.512456161742508e-9,0.48260565970471586,93,4.343089878440055e-9,1.7542059613753862e-15
sodium-native,Y,N,Y,N,Y,,buffer,535225.1773736728,1.1204016793980321e-7,0.0000018683724949318666,2.3543455016904548e-8,1.2601049887411824,87,1.2011966845359464e-8,1.2552999231979306e-14
sodium-native,Y,N,Y,Y,Y,,buffer,650700.5315571782,1.2391441334490252e-8,0.0000015368052606425883,2.4659940781327672e-9,0.1604623657457845,97,1.2581602439452894e-9,1.5354781834611354e-16
